state,control,debt_mdn,earn_mdn_10y
AL,1,16600.0,40628.0
AL,1,15832.0,54501.0
AL,2,13385.0,37621.0
AL,1,13905.0,61767.0
AL,1,17500.0,34502.0
AL,1,17986.0,59221.0
AL,1,5500.0,33506.0
AL,1,14861.0,50273.0
AL,1,13119.0,44391.0
AL,1,17750.0,65337.0
AL,2,16000.0,59481.0
AL,1,5900.0,36438.0
AL,3,13000.0,34421.0
AL,1,5500.0,42572.0
AL,1,5500.0,34894.0
AL,2,15000.0,43457.0
AL,1,8200.0,39842.0
AL,2,11756.0,36909.0
AL,2,20000.0,49601.0
AL,1,14000.0,45235.0
AL,1,4500.0,40719.0
AL,1,6010.0,38192.0
AL,1,13000.0,44232.0
AL,1,5500.0,59644.0
AL,2,15691.0,32627.0
AL,2,19000.0,43611.0
AL,1,16000.0,42957.0
AL,1,5500.0,33828.0
AL,1,15781.0,45415.0
AL,1,4400.0,34913.0
AL,2,21500.0,42488.0
AL,2,15750.0,58469.0
AL,1,6450.0,35735.0
AL,1,17750.0,49379.0
AL,2,21500.0,51500.0
AL,2,16000.0,35421.0
AL,2,15000.0,32229.0
AL,1,15985.0,42062.0
AL,2,21250.0,49641.0
AL,2,10976.0,55257.0
AK,1,11231.0,51871.0
AK,1,11283.0,48866.0
AK,1,10500.0,48475.0
AK,2,12696.0,54271.0
AK,1,5500.0,51083.0
AK,3,11884.0,35504.0
AK,3,7199.0,34468.0
AZ,3,8028.0,25073.0
AZ,3,9298.0,36718.0
AZ,3,9298.0,36718.0
AZ,3,9298.0,36718.0
AZ,3,4750.0,21201.0
AZ,3,10661.0,31102.0
AZ,3,9500.0,29576.0
AZ,1,13610.0,62668.0
AZ,1,4500.0,36857.0
AZ,1,13750.0,59979.0
AZ,1,6157.0,40513.0
AZ,3,7000.0,26269.0
AZ,1,5500.0,38033.0
AZ,3,7851.0,23921.0
AZ,3,6312.0,30803.0
AZ,2,14250.0,84131.0
AZ,1,4500.0,43108.0
