"institution_name","state","control","debt_mdn","earn_mdn_10y","average_cost","highest_degree_level"
"Alabama A & M University","AL",1,"16600",40628,23751,4
"University of Alabama at Birmingham","AL",1,"15832",54501,27826,4
"University of Alabama in Huntsville","AL",1,"13905",61767,27098,4
"Alabama State University","AL",1,"17500",34502,22028,4
"The University of Alabama","AL",1,"17986",59221,32024,4
"Central Alabama Community College","AL",1,"5500",33506,19815,2
"Auburn University at Montgomery","AL",1,"13119",44391,21873,4
"Auburn University","AL",1,"17750",65337,34402,4
"Birmingham-Southern College","AL",2,"16000",59481,38385,3
"Chattahoochee Valley Community College","AL",1,"5900",36438,12032,2
"South University-Montgomery","AL",3,"13000",34421,30704,4
"Enterprise State Community College","AL",1,"5500",42572,14798,2
"Coastal Alabama Community College","AL",1,"5500",34894,15171,2
"Faulkner University","AL",2,"15000",43457,36910,4
"Gadsden State Community College","AL",1,"PS",32937,10687,2
"George C Wallace Community College-Dothan","AL",1,"PS",31399,9863,2
"George C Wallace State Community College-Hanceville","AL",1,"8200",39842,18748,2
"George C Wallace State Community College-Selma","AL",1,"PS",31598,9505,2
"Herzing University-Birmingham","AL",2,"11756",36909,27195,4
"Huntingdon College","AL",2,"20000",49601,39686,4
"J. F. Drake State Community and Technical College","AL",1,"PS",28281,11908,2
"Jacksonville State University","AL",1,"14000",45235,23422,4
"Jefferson State Community College","AL",1,"4500",40719,14384,2
"John C Calhoun State Community College","AL",1,"6010",38192,12687,2
"Lawson State Community College","AL",1,"PS",31701,15028,2
"University of West Alabama","AL",1,"13000",44232,22402,4
"Lurleen B Wallace Community College","AL",1,"PS",32307,10223,2
"Marion Military Institute","AL",1,"5500",59644,18458,2
"Miles College","AL",2,"15691",32627,22900,3
"University of Mobile","AL",2,"19000",43611,38731,4
"University of Montevallo","AL",1,"16000",42957,26233,4
"Northwest Shoals Community College","AL",1,"5500",33828,10894,2
"University of North Alabama","AL",1,"15781",45415,22086,4
"Northeast Alabama Community College","AL",1,"4400",34913,10620,2
"Oakwood University","AL",2,"21500",42488,38592,4
"Reid State Technical College","AL",1,"PS",28982,9066,2
"Bishop State Community College","AL",1,"PS",29916,11530,2
"Samford University","AL",2,"15750",58469,53934,4
"Shelton State Community College","AL",1,"PS",35014,16607,2
"Snead State Community College","AL",1,"6450",35735,12583,2
"University of South Alabama","AL",1,"17750",49379,22070,4
"Spring Hill College","AL",2,"21500",51500,37172,4
"Stillman College","AL",2,"16000",35421,23485,3
"Talladega College","AL",2,"15000",32229,23441,4
"H Councill Trenholm State Community College","AL",1,"PS",32183,12148,2
"Troy University","AL",1,"15985",42062,21816,4
"Tuskegee University","AL",2,"21250",49641,41924,4
"Bevill State Community College","AL",1,"PS",34107,15238,2
"University of Alaska Anchorage","AK",1,"11231",51871,21848,4
"University of Alaska Fairbanks","AK",1,"11283",48866,21182,4
"University of Alaska Southeast","AK",1,"10500",48475,16796,4
"Alaska Pacific University","AK",2,"12696",54271,34964,4
"Charter College","AK",3,"11884",35504,31188,3
"Arizona State University Campus Immersion","AZ",1,"13610",62668,28047,4
"Arizona Western College","AZ",1,"4500",36857,15857,2
"University of Arizona","AZ",1,"13750",59979,28543,4
"Central Arizona College","AZ",1,"6157",40513,9024,2
"Cochise County Community College District","AZ",1,"5500",38033,13638,2
"Eastern Arizona College","AZ",1,"PS",38018,16280,2
"Embry-Riddle Aeronautical University-Prescott","AZ",2,"14250",84131,60158,4
"Glendale Community College","AZ",1,"4500",43108,18056,2
"Grand Canyon University","AZ",3,"12500",42186,31493,4
"GateWay Community College","AZ",1,"4500",46147,18316,2
"Mesa Community College","AZ",1,"4500",44034,18975,2
"Mohave Community College","AZ",1,"8000",35522,10952,2
"Dine College","AZ",1,"PS",29188,13872,3
"Northern Arizona University","AZ",1,"12916",54384,29495,4
"Northland Pioneer College","AZ",1,"PS",34199,14174,2
"Phoenix College","AZ",1,"5250",40870,18033,2
"Pima Community College","AZ",1,"4500",39810,8916,2
"Prescott College","AZ",2,"12500",42359,47228,4
"Rio Salado College","AZ",1,"4375",41015,13740,2
"Scottsdale Community College","AZ",1,"4500",47905,19682,2
"South Mountain Community College","AZ",1,"4500",39825,17872,2
"Arizona Christian University","AZ",2,"6251",51612,50950,3
"Yavapai College","AZ",1,"6762",39890,12642,2
"University of Arkansas at Little Rock","AR",1,"14500",45265,21013,4
"Arkansas Baptist College","AR",2,"8250",28418,22626,3
