state,median_debt
AK,10865.5
AL,14000.0
AR,8685.0
AZ,9500.0
CA,9500.0
CO,9500.0
CT,14221.0
DC,13805.0
DE,9298.0
FL,10413.0
GA,9500.0
HI,10000.0
IA,9425.0
ID,9278.0
IL,9500.0
IN,11625.0
KS,9583.5
KY,8626.5
LA,9500.0
MA,17500.0
MD,9500.0
ME,11630.5
MI,9500.0
MN,9500.0
MO,11785.0
MS,6500.0
MT,9847.0
NC,11499.0
ND,11960.0
NE,12495.0
NH,15603.0
NJ,9500.0
NM,9927.0
NV,9149.0
NY,12000.0
OH,10000.0
OK,9626.0
OR,9500.0
PA,12500.0
RI,13833.0
SC,10661.0
SD,14875.0
TN,11250.0
TX,9500.0
UT,8186.0
VA,13000.0
VT,16750.0
WA,9209.0
WI,11756.0
WV,9018.0
WY,6416.5
